Model,Test MSE,Test R²,Avg Train Loss,Avg Validation Loss,Train R²,Validation R²
RBF,0.677242636680603,0.4931500554084778,1.741486945748329,1.7987248224020005,0.5149617791175842,0.5277118682861328
Dense,0.3025277256965637,0.7735875844955444,0.47251700729131696,0.45875174313783645,0.7949061989784241,0.7814806699752808
